repulsion_force,speed_factor,enemy_speed,gain,target_distance,num_robots,num_enemies,killed,reached_target,ticks
10,1,1,1,30,9,1,0,9,23347
10,1,1,1,30,9,2,2,7,26356
10,1,1,1,30,9,3,2,7,26356
10,1,1,1,30,9,4,4,5,25950
10,1,1,1,30,10,1,2,8,22899
10,1,1,1,30,10,2,4,6,25461
10,1,1,1,30,10,3,4,6,25461
10,1,1,1,30,10,4,4,6,25461
10,1,1,1,30,11,1,1,10,23313
10,1,1,1,30,11,2,3,8,23285
10,1,1,1,30,11,3,4,7,23299
10,1,1,1,30,11,4,5,6,22773
10,1,1,1,30,12,1,1,11,23047
10,1,1,1,30,12,2,4,8,22991
10,1,1,1,30,12,3,5,7,23009
10,1,1,1,30,12,4,7,5,23010
10,1,1,1,30,13,1,1,12,23186
10,1,1,1,30,13,2,1,12,23303
10,1,1,1,30,13,3,2,11,23233
10,1,1,1,30,13,4,7,6,22157
10,1,1,1,30,14,1,1,13,22463
10,1,1,1,30,14,2,3,11,22492
10,1,1,1,30,14,3,7,7,23716
10,1,1,1,30,14,4,8,6,23125
10,1,1,1,30,15,1,2,13,23075
10,1,1,1,30,15,2,4,11,32186
10,1,1,1,30,15,3,7,8,25991
10,1,1,1,30,15,4,7,8,25810
10,1,1,10,15,1,1,0,1,22140
10,1,1,10,15,1,2,0,1,22140
10,1,1,10,15,1,3,1,0,13986
10,1,1,10,15,1,4,1,0,13986
10,1,1,10,15,2,1,0,2,22722
10,1,1,10,15,2,2,0,2,22722
10,1,1,10,15,2,3,0,2,22722
10,1,1,10,15,2,4,0,2,22722
10,1,1,10,15,3,1,0,3,22762
10,1,1,10,15,3,2,0,3,22753
10,1,1,10,15,3,3,0,3,22753
10,1,1,10,15,3,4,0,3,22753
10,1,1,10,15,4,1,0,4,22737
10,1,1,10,15,4,2,1,3,22737
10,1,1,10,15,4,3,1,3,22737
10,1,1,10,15,4,4,2,2,22737
10,1,1,10,15,5,1,0,5,22778
10,1,1,10,15,5,2,1,4,22778
10,1,1,10,15,5,3,1,4,22778
10,1,1,10,15,5,4,2,3,22778
10,1,1,10,15,6,1,0,6,22712
10,1,1,10,15,6,2,2,4,22474
10,1,1,10,15,6,3,3,3,22298
10,1,1,10,15,6,4,4,2,22298
10,1,1,10,15,7,1,0,7,22998
10,1,1,10,15,7,2,2,5,23054
10,1,1,10,15,7,3,2,5,23054
10,1,1,10,15,7,4,6,1,22620
10,1,1,10,15,8,1,0,8,22507
10,1,1,10,15,8,2,3,5,22509
10,1,1,10,15,8,3,4,4,22669
10,1,1,10,15,8,4,5,3,22669
10,1,1,10,15,9,1,0,9,22682
10,1,1,10,15,9,2,4,5,22276
10,1,1,10,15,9,3,6,3,22085
10,1,1,10,15,9,4,7,2,21704
10,1,1,10,15,10,1,0,10,22400
10,1,1,10,15,10,2,3,7,22371
10,1,1,10,15,10,3,5,5,22365
10,1,1,10,15,10,4,7,3,22262
10,1,1,10,15,11,1,0,11,22382
10,1,1,10,15,11,2,4,7,22379
10,1,1,10,15,11,3,5,6,22415
10,1,1,10,15,11,4,6,5,22601
10,1,1,10,15,12,1,1,11,22424
10,1,1,10,15,12,2,2,10,22798
10,1,1,10,15,12,3,4,8,22786
10,1,1,10,15,12,4,7,5,22650
10,1,1,10,15,13,1,2,11,22264
10,1,1,10,15,13,2,4,9,22667
10,1,1,10,15,13,3,6,7,23013
10,1,1,10,15,13,4,9,4,22801
10,1,1,10,15,14,1,0,14,22509
10,1,1,10,15,14,2,3,11,22485
10,1,1,10,15,14,3,6,8,22973
10,1,1,10,15,14,4,9,5,22549
10,1,1,10,15,15,1,4,11,23081
10,1,1,10,15,15,2,9,6,25250
10,1,1,10,15,15,3,10,5,23548
10,1,1,10,15,15,4,12,3,23707
10,1,1,10,20,1,1,0,1,22140
10,1,1,10,20,1,2,0,1,22140
10,1,1,10,20,1,3,1,0,13986
10,1,1,10,20,1,4,1,0,13986
10,1,1,10,20,2,1,0,2,22438
10,1,1,10,20,2,2,0,2,22438
10,1,1,10,20,2,3,0,2,22672
10,1,1,10,20,2,4,0,2,22672
10,1,1,10,20,3,1,0,3,22725
10,1,1,10,20,3,2,0,3,22837
10,1,1,10,20,3,3,0,3,22837
10,1,1,10,20,3,4,0,3,22702
10,1,1,10,20,4,1,0,4,22416
10,1,1,10,20,4,2,1,3,22537
10,1,1,10,20,4,3,1,3,22667
10,1,1,10,20,4,4,1,3,22667
10,1,1,10,20,5,1,0,5,22739
10,1,1,10,20,5,2,1,4,22871
10,1,1,10,20,5,3,1,4,22871
10,1,1,10,20,5,4,3,2,22750
10,1,1,10,20,6,1,0,6,22638
10,1,1,10,20,6,2,1,5,22955
10,1,1,10,20,6,3,1,5,22955
10,1,1,10,20,6,4,3,3,22790
10,1,1,10,20,7,1,0,7,22482
10,1,1,10,20,7,2,4,3,22292
10,1,1,10,20,7,3,4,3,22292
10,1,1,10,20,7,4,5,2,22292
10,1,1,10,20,8,1,0,8,23007
10,1,1,10,20,8,2,4,4,22524
10,1,1,10,20,8,3,4,4,22524
10,1,1,10,20,8,4,5,3,22358
10,1,1,10,20,9,1,0,9,22605
10,1,1,10,20,9,2,1,8,22888
10,1,1,10,20,9,3,2,7,24259
10,1,1,10,20,9,4,2,7,24259
10,1,1,10,20,10,1,2,8,23068
10,1,1,10,20,10,2,4,6,23142
10,1,1,10,20,10,3,4,6,23142
10,1,1,10,20,10,4,7,3,22212
10,1,1,10,20,11,1,2,9,22902
10,1,1,10,20,11,2,4,7,24592
10,1,1,10,20,11,3,4,7,24592
10,1,1,10,20,11,4,8,3,23667
10,1,1,10,20,12,1,1,11,22724
10,1,1,10,20,12,2,4,8,23174
10,1,1,10,20,12,3,4,8,23039
10,1,1,10,20,12,4,7,5,23340
10,1,1,10,20,13,1,1,12,22743
10,1,1,10,20,13,2,2,11,22974
10,1,1,10,20,13,3,3,10,24254
10,1,1,10,20,13,4,3,10,24254
10,1,1,10,20,14,1,2,12,22379
10,1,1,10,20,14,2,4,10,22703
10,1,1,10,20,14,3,8,6,22782
10,1,1,10,20,14,4,10,4,22056
10,1,1,10,20,15,1,2,13,22807
10,1,1,10,20,15,2,3,12,22614
10,1,1,10,20,15,3,6,9,22611
10,1,1,10,20,15,4,6,9,22363
10,1,1,10,25,1,1,0,1,22140
10,1,1,10,25,1,2,0,1,22140
10,1,1,10,25,1,3,1,0,13986
10,1,1,10,25,1,4,1,0,13986
10,1,1,10,25,2,1,0,2,22930
10,1,1,10,25,2,2,0,2,22930
10,1,1,10,25,2,3,1,1,22273
10,1,1,10,25,2,4,1,1,22273
10,1,1,10,25,3,1,0,3,23324
10,1,1,10,25,3,2,0,3,23325
10,1,1,10,25,3,3,0,3,23283
10,1,1,10,25,3,4,1,2,22888
10,1,1,10,25,4,1,0,4,22956
10,1,1,10,25,4,2,1,3,22956
10,1,1,10,25,4,3,2,2,22661
10,1,1,10,25,4,4,3,1,22282
10,1,1,10,25,5,1,0,5,23331
10,1,1,10,25,5,2,1,4,23336
10,1,1,10,25,5,3,1,4,23290
10,1,1,10,25,5,4,3,2,22856
10,1,1,10,25,6,1,0,6,22945
10,1,1,10,25,6,2,2,4,23132
10,1,1,10,25,6,3,3,3,22502
10,1,1,10,25,6,4,4,2,22500
10,1,1,10,25,7,1,0,7,22943
10,1,1,10,25,7,2,3,4,22907
10,1,1,10,25,7,3,3,4,22903
10,1,1,10,25,7,4,4,3,22920
10,1,1,10,25,8,1,0,8,23224
10,1,1,10,25,8,2,2,6,22969
10,1,1,10,25,8,3,2,6,22969
10,1,1,10,25,8,4,5,3,22515
10,1,1,10,25,9,1,0,9,22773
10,1,1,10,25,9,2,2,7,23118
10,1,1,10,25,9,3,2,7,23118
10,1,1,10,25,9,4,4,5,23220
10,1,1,10,25,10,1,2,8,23407
10,1,1,10,25,10,2,4,6,23272
10,1,1,10,25,10,3,4,6,23272
10,1,1,10,25,10,4,7,3,22956
10,1,1,10,25,11,1,2,9,23093
10,1,1,10,25,11,2,3,8,23093
10,1,1,10,25,11,3,3,8,23093
10,1,1,10,25,11,4,7,4,22857
10,1,1,10,25,12,1,3,9,22603
10,1,1,10,25,12,2,6,6,31032
10,1,1,10,25,12,3,8,4,24291
10,1,1,10,25,12,4,9,3,24162
10,1,1,10,25,13,1,2,11,22860
10,1,1,10,25,13,2,5,8,24269
10,1,1,10,25,13,3,7,6,24159
10,1,1,10,25,13,4,7,6,24159
10,1,1,10,25,14,1,1,13,22627
10,1,1,10,25,14,2,4,10,24457
10,1,1,10,25,14,3,9,5,23217
10,1,1,10,25,14,4,9,5,23339
10,1,1,10,25,15,1,2,13,22737
10,1,1,10,25,15,2,4,11,22907
10,1,1,10,25,15,3,8,7,24868
10,1,1,10,25,15,4,10,5,26093
10,1,1,10,30,1,1,0,1,22140
10,1,1,10,30,1,2,0,1,22140
10,1,1,10,30,1,3,1,0,13986
10,1,1,10,30,1,4,1,0,13986
10,1,1,10,30,2,1,0,2,23018
10,1,1,10,30,2,2,0,2,23018
10,1,1,10,30,2,3,1,1,22212
10,1,1,10,30,2,4,1,1,22212
10,1,1,10,30,3,2,1,2,23124
10,1,1,10,30,3,3,2,1,22322
10,1,1,10,30,3,4,2,1,22322
10,1,1,10,30,4,1,0,4,23022
10,1,1,10,30,4,2,0,4,23022
10,1,1,10,30,4,3,1,3,23003
10,1,1,10,30,4,4,2,2,23124
10,1,1,10,30,5,2,1,4,23839
10,1,1,10,30,5,3,3,2,23409
10,1,1,10,30,5,4,4,1,23409
10,1,1,10,30,6,1,0,6,23021
10,1,1,10,30,6,2,2,4,22837
10,1,1,10,30,6,3,3,3,22996
10,1,1,10,30,6,4,4,2,22996
10,1,1,10,30,7,1,0,7,23986
10,1,1,10,30,7,2,2,5,22972
10,1,1,10,30,7,3,2,5,23017
10,1,1,10,30,7,4,4,3,22600
10,1,1,10,30,8,1,0,8,24397
10,1,1,10,30,8,2,2,6,23490
10,1,1,10,30,8,3,3,5,23527
10,1,1,10,30,8,4,3,5,24156
10,1,1,10,30,9,1,0,9,23322
10,1,1,10,30,9,2,2,7,26286
10,1,1,10,30,9,3,2,7,26286
10,1,1,10,30,9,4,4,5,25911
10,1,1,10,30,10,1,1,9,23191
10,1,1,10,30,10,2,3,7,23082
10,1,1,10,30,10,3,3,7,23111
10,1,1,10,30,10,4,3,7,23260
10,1,1,10,30,11,1,1,10,23294
10,1,1,10,30,11,2,3,8,26579
10,1,1,10,30,11,3,3,8,26579
10,1,1,10,30,11,4,6,5,25913
10,1,1,10,30,12,1,1,11,23099
10,1,1,10,30,12,2,2,10,23356
10,1,1,10,30,12,3,4,8,23478
10,1,1,10,30,12,4,5,7,23458
10,1,1,10,30,13,1,2,11,22943
10,1,1,10,30,13,2,3,10,28882
10,1,1,10,30,13,3,5,8,29762
10,1,1,10,30,13,4,7,6,27370
10,1,1,10,30,14,1,0,14,22964
10,1,1,10,30,14,2,2,12,23293
10,1,1,10,30,14,3,4,10,23065
10,1,1,10,30,14,4,9,5,22460
10,1,1,10,30,15,1,2,13,23085
10,1,1,10,30,15,2,5,10,23719
10,1,1,10,30,15,3,7,8,25786
10,1,1,10,30,15,4,9,6,26203
10,1,1,100,15,1,1,0,1,22140
10,1,1,100,15,1,2,0,1,22140
10,1,1,100,15,1,3,1,0,13986
10,1,1,100,15,1,4,1,0,13986
10,1,1,100,15,2,1,0,2,22739
10,1,1,100,15,2,2,0,2,22739
10,1,1,100,15,2,3,0,2,22739
10,1,1,100,15,2,4,0,2,22739
10,1,1,100,15,3,1,0,3,22584
10,1,1,100,15,3,2,0,3,22664
10,1,1,100,15,3,3,0,3,22664
10,1,1,100,15,3,4,0,3,22664
10,1,1,100,15,4,1,0,4,22751
10,1,1,100,15,4,2,1,3,22751
10,1,1,100,15,4,3,1,3,22751
10,1,1,100,15,4,4,2,2,22751
10,1,1,100,15,5,1,0,5,22776
10,1,1,100,15,5,2,1,4,22776
10,1,1,100,15,5,3,1,4,22776
10,1,1,100,15,5,4,2,3,22776
10,1,1,100,15,6,1,0,6,22738
10,1,1,100,15,6,2,2,4,22383
10,1,1,100,15,6,3,3,3,22677
10,1,1,100,15,6,4,4,2,22677
10,1,1,100,15,7,1,0,7,23143
10,1,1,100,15,7,2,1,6,22918
10,1,1,100,15,7,3,1,6,22918
10,1,1,100,15,7,4,3,4,23076
10,1,1,100,15,8,1,0,8,22564
10,1,1,100,15,8,2,3,5,22467
10,1,1,100,15,8,3,4,4,22608
10,1,1,100,15,8,4,5,3,22608
10,1,1,100,15,9,1,0,9,22729
10,1,1,100,15,9,2,4,5,22279
10,1,1,100,15,9,3,6,3,22109
10,1,1,100,15,9,4,7,2,21695
10,1,1,100,15,10,1,0,10,22369
10,1,1,100,15,10,2,3,7,22381
10,1,1,100,15,10,3,5,5,22382
10,1,1,100,15,10,4,7,3,22259
10,1,1,100,15,11,1,0,11,22374
